"","Event","bw"
"1","1990T04001",19
"2","1990T04001",19
"3","1990T04001",25
"4","1990T04001",26
"5","1990T04001",27
"6","1990T04001",28
"7","1990T04001",36
"8","1990T04001",36
"9","1990T04001",36
"10","1990T04001",36
"11","1990T04001",38
"12","1990T04001",38
"13","1990T04001",38
"14","1990T04001",38
"15","1990T04001",38
"16","1990T04001",39
"17","1990T04001",40
"18","1990T04001",45
"19","1990T04001",66
"20","1990T04001",67
"21","1990T04001",67
"22","1990T04001",67
"23","1990T04001",68
"24","1990T04001",68
"25","1990T04001",68
"26","1990T04001",69
"27","1990T04001",69
"28","1990T04001",69
"29","1990T04001",69
"30","1990T04001",70
"31","1990T04001",70
"32","1990T04001",70
"33","1990T04001",70
"34","1990T04001",70
"35","1990T04001",71
"36","1990T04001",71
"37","1990T04001",71
"38","1990T04001",72
"39","1990T04001",73
"40","1990T04001",73
"41","1990T04001",73
"42","1990T04001",73
"43","1990T04001",73
"44","1990T04001",73
"45","1990T04001",73
"46","1990T04001",73
"47","1990T04001",74
"48","1990T04001",74
"49","1990T04001",74
"50","1990T04001",74
"51","1990T04001",75
"52","1990T04001",75
"53","1990T04001",75
"54","1990T04001",75
"55","1990T04001",75
"56","1990T04001",75
"57","1990T04001",75
"58","1990T04001",75
"59","1990T04001",75
"60","1990T04001",75
"61","1990T04001",76
"62","1990T04001",76
"63","1990T04001",76
"64","1990T04001",77
"65","1990T04001",77
"66","1990T04001",77
"67","1990T04001",78
"68","1990T04001",78
"69","1990T04001",78
"70","1990T04001",78
"71","1990T04001",78
"72","1990T04001",78
"73","1990T04001",78
"74","1990T04001",78
"75","1990T04001",78
"76","1990T04001",79
"77","1990T04001",79
"78","1990T04001",79
"79","1990T04001",79
"80","1990T04001",79
"81","1990T04001",79
"82","1990T04001",79
"83","1990T04001",79
"84","1990T04001",80
"85","1990T04001",80
"86","1990T04001",80
"87","1990T04001",80
"88","1990T04001",80
"89","1990T04001",80
"90","1990T04001",80
"91","1990T04001",80
"92","1990T04001",80
"93","1990T04001",80
"94","1990T04001",80
"95","1990T04001",81
"96","1990T04001",81
"97","1990T04001",81
"98","1990T04001",81
"99","1990T04001",82
"100","1990T04001",82
"101","1990T04001",82
"102","1990T04001",82
"103","1990T04001",82
"104","1990T04001",83
"105","1990T04001",83
"106","1990T04001",83
"107","1990T04001",84
"108","1990T04001",84
"109","1990T04001",84
"110","1990T04001",84
"111","1990T04001",84
"112","1990T04001",84
"113","1990T04001",84
"114","1990T04001",84
"115","1990T04001",84
"116","1990T04001",85
"117","1990T04001",85
"118","1990T04001",85
"119","1990T04001",85
"120","1990T04001",85
"121","1990T04001",86
"122","1990T04001",86
"123","1990T04001",86
"124","1990T04001",86
"125","1990T04001",87
"126","1990T04001",87
"127","1990T04001",87
"128","1990T04001",87
"129","1990T04001",87
"130","1990T04001",87
"131","1990T04001",88
"132","1990T04001",88
"133","1990T04001",88
"134","1990T04001",88
"135","1990T04001",89
"136","1990T04001",89
"137","1990T04001",89
"138","1990T04001",89
"139","1990T04001",90
"140","1990T04001",91
"141","1990T04001",91
"142","1990T04001",92
"143","1990T04001",92
"144","1990T04001",92
"145","1990T04001",94
"146","1990T04001",94
"147","1990T04001",97
"148","1990T04001",97
"149","1990T04001",97
"150","1990T04001",98
"151","1990T04001",101
"152","1990T04001",101
"153","1990T04001",101
"154","1990T04001",102
"155","1990T04001",102
"156","1990T04001",102
"157","1990T04001",102
"158","1990T04001",103
"159","1990T04001",103
"160","1990T04001",103
"161","1990T04001",103
"162","1990T04001",104
"163","1990T04001",107
"164","1990T04001",108
"165","1990T04001",108
"166","1990T04001",109
"167","1990T04001",111
"168","1990T04001",116
"169","1990T04001",117
"170","1990T04001",117
"171","1990T04001",121
"172","1990T04001",121
"173","1990T04001",121
"174","1990T04001",122
"175","1990T04001",123
"176","1990T04001",124
"177","1990T04001",125
"178","1990T04001",126
"179","1990T04001",131
"180","1990T04001",138
"181","1990T04001",138
"182","1990T04001",138
"183","1990T04001",139
"184","1990T04001",142
"185","1990T04001",143
"186","1990T04001",144
"187","1990T04001",144
"188","1990T04001",144
"189","1990T04001",146
"190","1990T04001",147
"191","1990T04001",148
"192","1990T04001",156
"193","1990T04001",156
"194","1990T04001",160
"195","1990T04001",160
"196","1990T04001",160
"197","1990T04001",162
"198","1990T04001",163
"199","1990T04001",163
"200","1990T04001",168
"201","1990T04001",170
"202","1990T04001",171
"203","1990T04001",19
"204","1990T04002",24
"205","1990T04002",26
"206","1990T04002",26
"207","1990T04002",27
"208","1990T04002",33
"209","1990T04002",34
"210","1990T04002",34
"211","1990T04002",34
"212","1990T04002",34
"213","1990T04002",35
"214","1990T04002",35
"215","1990T04002",35
"216","1990T04002",36
"217","1990T04002",36
"218","1990T04002",36
"219","1990T04002",36
"220","1990T04002",36
"221","1990T04002",36
"222","1990T04002",36
"223","1990T04002",36
"224","1990T04002",37
"225","1990T04002",37
"226","1990T04002",37
"227","1990T04002",37
"228","1990T04002",37
"229","1990T04002",37
"230","1990T04002",37
"231","1990T04002",37
"232","1990T04002",38
"233","1990T04002",38
"234","1990T04002",38
"235","1990T04002",38
"236","1990T04002",38
"237","1990T04002",39
"238","1990T04002",39
"239","1990T04002",39
"240","1990T04002",39
"241","1990T04002",39
"242","1990T04002",39
"243","1990T04002",42
"244","1990T04002",43
"245","1990T04002",43
"246","1990T04002",44
"247","1990T04002",44
"248","1990T04002",44
"249","1990T04002",45
"250","1990T04002",46
"251","1990T04002",46
"252","1990T04002",46
"253","1990T04002",48
"254","1990T04002",50
"255","1990T04002",50
"256","1990T04002",51
"257","1990T04002",54
"258","1990T04002",54
"259","1990T04002",56
"260","1990T04002",56
"261","1990T04002",57
"262","1990T04002",58
"263","1990T04002",58
"264","1990T04002",58
"265","1990T04002",59
"266","1990T04002",59
"267","1990T04002",60
"268","1990T04002",60
"269","1990T04002",60
"270","1990T04002",60
"271","1990T04002",61
"272","1990T04002",61
"273","1990T04002",61
"274","1990T04002",61
"275","1990T04002",62
"276","1990T04002",62
"277","1990T04002",62
"278","1990T04002",62
"279","1990T04002",63
"280","1990T04002",63
"281","1990T04002",63
"282","1990T04002",63
"283","1990T04002",63
"284","1990T04002",63
"285","1990T04002",63
"286","1990T04002",64
"287","1990T04002",65
"288","1990T04002",66
"289","1990T04002",66
"290","1990T04002",66
"291","1990T04002",66
"292","1990T04002",66
"293","1990T04002",66
"294","1990T04002",67
"295","1990T04002",67
"296","1990T04002",67
"297","1990T04002",68
"298","1990T04002",69
"299","1990T04002",69
"300","1990T04002",69
"301","1990T04002",70
"302","1990T04002",72
"303","1990T04002",72
"304","1990T04002",72
"305","1990T04002",73
"306","1990T04002",73
"307","1990T04002",74
"308","1990T04002",74
"309","1990T04002",74
"310","1990T04002",75
"311","1990T04002",75
"312","1990T04002",77
"313","1990T04002",78
"314","1990T04002",78
"315","1990T04002",79
"316","1990T04002",79
"317","1990T04002",79
"318","1990T04002",80
"319","1990T04002",82
"320","1990T04002",82
"321","1990T04002",83
"322","1990T04002",83
"323","1990T04002",83
"324","1990T04002",84
"325","1990T04002",84
"326","1990T04002",84
"327","1990T04002",85
"328","1990T04002",86
"329","1990T04002",87
"330","1990T04002",87
"331","1990T04002",87
"332","1990T04002",88
"333","1990T04002",89
"334","1990T04002",89
"335","1990T04002",90
"336","1990T04002",90
"337","1990T04002",91
"338","1990T04002",94
"339","1990T04002",95
"340","1990T04002",97
"341","1990T04002",109
"342","1990T04002",110
"343","1990T04002",111
"344","1990T04002",117
"345","1990T04002",120
"346","1990T04002",127
"347","1990T04002",23
"348","1990T04003",33
"349","1990T04003",36
"350","1990T04003",36
"351","1990T04003",39
"352","1990T04003",42
"353","1990T04003",43
"354","1990T04003",100
"355","1990T04003",32
"356","1990T04003",31
"357","1990T04004",24
"358","1990T04004",43
"359","1990T04004",62
"360","1990T04004",68
"361","1990T04004",79
"362","1990T04004",80
"363","1990T04004",133
"364","1990T04004",23
"365","1990T04005",57
"366","1990T04005",58
"367","1990T04005",58
"368","1990T04005",60
"369","1990T04005",60
"370","1990T04005",61
"371","1990T04005",61
"372","1990T04005",61
"373","1990T04005",63
"374","1990T04005",65
"375","1990T04005",65
"376","1990T04005",67
"377","1990T04005",67
"378","1990T04005",68
"379","1990T04005",68
"380","1990T04005",68
"381","1990T04005",68
"382","1990T04005",69
"383","1990T04005",71
"384","1990T04005",71
"385","1990T04005",71
"386","1990T04005",74
"387","1990T04005",74
"388","1990T04005",74
"389","1990T04005",76
"390","1990T04005",77
"391","1990T04005",77
"392","1990T04005",77
"393","1990T04005",78
"394","1990T04005",79
"395","1990T04005",79
"396","1990T04005",81
"397","1990T04005",81
"398","1990T04005",83
"399","1990T04005",85
"400","1990T04005",86
"401","1990T04005",86
"402","1990T04005",86
"403","1990T04005",86
"404","1990T04005",88
"405","1990T04005",89
"406","1990T04005",90
"407","1990T04005",90
"408","1990T04005",90
"409","1990T04005",90
"410","1990T04005",90
"411","1990T04005",91
"412","1990T04005",91
"413","1990T04005",91
"414","1990T04005",91
"415","1990T04005",91
"416","1990T04005",92
"417","1990T04005",92
"418","1990T04005",92
"419","1990T04005",94
"420","1990T04005",94
"421","1990T04005",94
"422","1990T04005",95
"423","1990T04005",96
"424","1990T04005",96
"425","1990T04005",96
"426","1990T04005",96
"427","1990T04005",96
"428","1990T04005",96
"429","1990T04005",96
"430","1990T04005",98
"431","1990T04005",98
"432","1990T04005",98
"433","1990T04005",98
"434","1990T04005",99
"435","1990T04005",100
"436","1990T04005",100
"437","1990T04005",101
"438","1990T04005",101
"439","1990T04005",101
"440","1990T04005",101
"441","1990T04005",102
"442","1990T04005",102
"443","1990T04005",102
"444","1990T04005",102
"445","1990T04005",104
"446","1990T04005",104
"447","1990T04005",105
"448","1990T04005",106
"449","1990T04005",106
"450","1990T04005",106
"451","1990T04005",106
"452","1990T04005",106
"453","1990T04005",106
"454","1990T04005",106
"455","1990T04005",107
"456","1990T04005",107
"457","1990T04005",107
"458","1990T04005",107
"459","1990T04005",107
"460","1990T04005",107
"461","1990T04005",109
"462","1990T04005",109
"463","1990T04005",109
"464","1990T04005",109
"465","1990T04005",109
"466","1990T04005",110
"467","1990T04005",110
"468","1990T04005",111
"469","1990T04005",111
"470","1990T04005",111
"471","1990T04005",112
"472","1990T04005",113
"473","1990T04005",113
"474","1990T04005",113
"475","1990T04005",115
"476","1990T04005",116
"477","1990T04005",116
"478","1990T04005",117
"479","1990T04005",117
"480","1990T04005",117
"481","1990T04005",118
"482","1990T04005",118
"483","1990T04005",118
"484","1990T04005",119
"485","1990T04005",119
"486","1990T04005",119
"487","1990T04005",123
"488","1990T04005",124
"489","1990T04005",125
"490","1990T04005",126
"491","1990T04005",128
"492","1990T04005",128
"493","1990T04005",128
"494","1990T04005",128
"495","1990T04005",128
"496","1990T04005",130
"497","1990T04005",132
"498","1990T04005",132
"499","1990T04005",132
"500","1990T04005",133
"501","1990T04005",134
"502","1990T04005",135
"503","1990T04005",135
"504","1990T04005",135
"505","1990T04005",136
"506","1990T04005",136
"507","1990T04005",137
"508","1990T04005",137
"509","1990T04005",139
"510","1990T04005",140
"511","1990T04005",140
"512","1990T04005",140
"513","1990T04005",142
"514","1990T04005",144
"515","1990T04005",146
"516","1990T04005",148
"517","1990T04005",149
"518","1990T04005",150
"519","1990T04005",151
"520","1990T04005",151
"521","1990T04005",152
"522","1990T04005",152
"523","1990T04005",158
"524","1990T04005",160
"525","1990T04005",160
"526","1990T04005",168
"527","1990T04005",170
"528","1990T04005",171
"529","1990T04005",19
"530","1990T04005",26
"531","1990T04005",26
"532","1990T04005",27
"533","1990T04005",27
"534","1990T04005",28
"535","1990T04005",28
"536","1990T04005",28
"537","1990T04005",29
"538","1990T04005",29
"539","1990T04005",29
"540","1990T04005",29
"541","1990T04005",29
"542","1990T04005",30
"543","1990T04005",32
"544","1990T04005",32
"545","1990T04005",32
"546","1990T04005",33
"547","1990T04005",33
"548","1990T04005",34
"549","1990T04005",35
"550","1990T04005",35
"551","1990T04005",35
"552","1990T04005",35
"553","1990T04005",35
"554","1990T04005",36
"555","1990T04005",36
"556","1990T04005",36
"557","1990T04005",36
"558","1990T04005",36
"559","1990T04005",36
"560","1990T04005",36
"561","1990T04005",37
"562","1990T04005",37
"563","1990T04005",37
"564","1990T04005",37
"565","1990T04005",37
"566","1990T04005",37
"567","1990T04005",37
